#{"t_start": 1778640436.8382459, "env_id": "ALE/PrivateEye-v5"}
r,l,t
1.0,672,16.32991
1.0,670,22.88144
0.0,673,29.455037
-3.0,671,41.563483
-27.0,672,48.64373
-3.0,668,53.98877
-2.0,667,61.795481
1.0,670,67.653752
-19.0,667,73.48833
-77.0,671,79.744163
1.0,667,86.330424
1.0,666,94.434219
1.0,671,102.064545
0.0,671,109.031172
-3.0,672,115.430188
1.0,669,124.177463
1.0,669,139.366366
1.0,672,146.391682
1.0,667,155.44738
1.0,666,162.569556
1.0,666,169.061905
1.0,670,177.738513
-85.0,666,183.840561
1.0,668,190.940957
-9.0,668,201.162679
1.0,667,207.052967
1.0,666,212.682777
1.0,670,219.729516
1.0,669,225.785807
1.0,667,230.994126
1.0,668,238.377141
0.0,667,243.817136
1.0,671,249.57933
-7.0,669,256.877445
1.0,668,262.319638
-3.0,671,267.804862
0.0,667,274.928126
-57.0,669,280.118428
0.0,672,285.305143
0.0,672,292.27574
1.0,670,297.623947
-2.0,667,303.331805
-31.0,671,310.647659
0.0,668,316.2377
1.0,672,321.762971
1.0,667,328.916967
1.0,671,334.352033
1.0,670,340.044686
1.0,667,346.999686
1.0,667,351.996788
1.0,667,357.595834
1.0,666,363.054017
1.0,672,369.781864
0.0,669,375.260953
-7.0,672,380.576635
-3.0,670,387.560252
-31.0,667,393.278167
-15.0,666,398.909634
1.0,670,405.817177
1.0,672,410.928721
-7.0,672,416.0166
1.0,671,421.993931
1.0,671,426.379471
1.0,669,434.387552
-14.0,669,446.404948
-1.0,672,453.706156
1.0,666,458.95983
1.0,667,464.568553
1.0,671,469.065545
1.0,671,473.850852
1.0,668,482.553411
1.0,672,488.314708
1.0,668,494.745539
1.0,668,502.150653
-2.0,670,508.657579
1.0,672,514.402318
1.0,666,520.657088
1.0,672,526.180279
1.0,667,531.959334
1.0,668,539.617774
1.0,670,544.612251
1.0,670,549.829163
1.0,670,556.056405
1.0,671,560.257124
1.0,669,565.182317
1.0,671,571.674747
1.0,666,576.029655
1.0,666,581.078149
1.0,671,588.209137
1.0,671,594.703062
1.0,665,600.975658
1.0,670,610.971949
1.0,667,618.419976
1.0,667,624.597842
1.0,671,631.539022
1.0,668,636.05971
1.0,667,641.506979
1.0,668,650.210937
1.0,672,656.631386
1.0,671,663.298678
1.0,671,671.19589
1.0,669,677.820712
